id,created_at,name,phone,service_type,status,manager_id,source
1,2026-09-06T08:50:00+00:00,Анна Крылова,+79991234567,Telegram-бот,new,,telegram-demo
2,2026-09-06T10:15:00+00:00,Михаил Орлов,+79134442010,CRM,in_progress,91001,telegram-demo
3,2026-09-06T10:28:00+00:00,Елена Власова,+79135550241,Excel-отчёт,done,91001,telegram-demo
4,2026-09-06T10:44:00+00:00,Игорь Лапин,+79136668032,AI-помощник,postponed,,telegram-demo
5,2026-09-06T10:56:00+00:00,Дарья Соколова,+79131102231,Telegram-бот,done,91001,telegram-demo
6,2026-09-06T11:10:00+00:00,ООО Вектор,+79130071990,CRM,in_progress,91001,telegram-demo
7,2026-09-06T11:18:00+00:00,Павел Юдин,+79138104722,Excel-отчёт,new,,telegram-demo
8,2026-09-06T11:26:00+00:00,Мария Белова,+79139001133,AI-помощник,postponed,,telegram-demo
9,2026-09-06T11:33:00+00:00,Никита Ершов,+79137204411,Telegram-бот,done,91001,telegram-demo
10,2026-09-06T11:42:00+00:00,Студия Пиксель,+79138080505,CRM,in_progress,91001,telegram-demo
11,2026-09-06T11:49:00+00:00,Алексей Мартынов,+79133301200,Excel-отчёт,new,,telegram-demo
12,2026-09-06T11:54:00+00:00,Ольга Титова,+79131020304,AI-помощник,in_progress,91001,telegram-demo
